source_mic,own_city_mic,own_state_mic,own_county_mic
knoxville news sentinel,knoxville,tn,knox
la crosse tribune,la crosse,wi,la crosse
laredo morning times,laredo,tx,webb
las cruces sun-news,las cruces,nm,dona ana
las vegas review-journal,las vegas,nv,clark
las vegas review-journal - el tiempo,las vegas,nv,clark
lawrence journal-world,lawrence,ks,douglas
lawton constitution sunday contitution,lawton,ok,comanche
lebanon daily news,lebanon,pa,lebanon
ledger,lakeland,fl,polk
ledger-enquirer,columbus,ga,muscogee
lexington herald-leader,lexington,ky,fayette
lima news,lima,oh,allen
lincoln journal star,lincoln,ne,lancaster
lnp / sunday lnp,lancaster,pa,lancaster
lockport union-sun & journal,lockport,ny,niagara
longview news-journal,longview,tx,gregg
los banos enterprise,los banos,ca,merced
lubbock avalanche-journal,lubbock,tx,lubbock
macomb daily,mount clemens,mi,macomb
martinsville bulletin,martinsville,va,none
maryland gazette,glen burnie,md,anne arundel
meadville tribune,meadville,pa,crawford
merced sun-star,merced,ca,merced
mercury,pottstown,pa,montgomery
metrowest daily news,framingham,ma,middlesex
midland daily news,midland,mi,midland
midland reporter-telegram,midland,tx,midland
milford daily news,milford,ma,worcester
milwaukee journal sentinel,milwaukee,wi,milwaukee
milwaukee journal sentinel - packer plus,milwaukee,wi,milwaukee
missoulian,missoula,mt,missoula
modesto bee,modesto,ca,stanislaus
monitor,mcallen,tx,hidalgo
morning call,allentown,pa,lehigh
morning journal,lorain,oh,lorain
muskegon chronicle,muskegon,mi,muskegon
napa valley register,napa,ca,napa
naples daily news,naples,fl,collier
new castle news,new castle,pa,lawrence
"new hampshire union leader, nh sun. news",manchester,nh,hillsborough
new haven register,new haven,ct,new haven
new haven register - middletown press,new haven,ct,new haven
new haven register - milford orange bulletin,new haven,ct,new haven
new haven register - shoreline times,new haven,ct,new haven
new york post,new york,ny,new york
news & advance,lynchburg,va,none
news & observer,raleigh,nc,wake
news & record,greensboro,nc,guilford
news chief,winter haven,fl,polk
news herald,port clinton,oh,ottawa
news sun,kendallville,in,noble
news tribune,jefferson city,mo,cole
news tribune,tacoma,wa,pierce
news virginian,waynesboro,va,none
news-enterprise,elizabethtown,ky,hardin
news-herald,willoughby,oh,lake
newsday,long island,ny,suffolk
niagara gazette,niagara falls,ny,niagara
norman transcript,norman,ok,cleveland
northeast mississippi daily journal,tupelo,ms,lee
northern virginia daily,strasburg,va,shenandoah
northwest herald,crystal lake,il,mchenry
observer dispatch,utica,ny,oneida
observer reporter,washington,pa,washington
ocala star-banner,ocala,fl,marion
odessa american,odessa,tx,ector
olympian,olympia,wa,thurston
omaha world herald sunday world herald,omaha,ne,douglas
opelika-auburn news,opelika,al,lee
orange county register,santa ana,ca,orange
oregonian,portland,or,multnomah
pantagraph,bloomington-normal,il,mclean
patriot ledger,quincy,ma,norfolk
patriot-news sunday patriot news,harrisburg,pa,dauphin
peninsula daily news,port angeles,wa,clallam
philadelphia inquirer,philadelphia,pa,philadelphia
philadelphia inquirer - the philadelphia daily news,philadelphia,pa,philadelphia
pittsburgh post-gazette,pittsburgh,pa,allegheny
plain dealer plain dealer sunday,cleveland,oh,cuyahoga
portage daily register,portage,wi,columbia
portland press herald,portland,me,cumberland
"portsmouth herald, seacoast sunday",portsmouth,nh,rockingham
post and courier,charleston,sc,charleston
post-standard,syracuse,ny,onondaga
post-star,glens falls,ny,warren
press democrat,santa rosa,ca,sonoma
press democrat - the petaluma argus-courier,santa rosa,ca,sonoma
press democrat - the sonoma index tribune,santa rosa,ca,sonoma
press of atlantic city,atlantic city,nj,atlantic
press-register,mobile,al,mobile
press-republican,plattsburgh,ny,clinton
progress index,petersburg,va,none
providence journal,providence,ri,providence
public opinion,chambersburg,pa,franklin
rapid city journal,rapid city,sd,pennington
reading eagle,reading,pa,berks
record,stockton,ca,san joaquin
record,bel air,md,harford
record searchlight,redding,ca,shasta
record sunday record,troy,ny,rensselaer
register-guard,eugene,or,lane
register-herald,beckley,wv,raleigh
reporter,lansdale,pa,montgomery
repository,canton,oh,stark
republican,springfield,ma,hampden
republican herald,pottsville,pa,schuylkill
republican-american sunday republican,waterbury,ct,new haven
richmond times-dispatch,richmond,va,none
roanoke times,roanoke,va,none
rockford register star,rockford,il,winnebago
ruidoso news,ruidoso,nm,lincoln
sacramento bee,sacramento,ca,sacramento
saginaw news,saginaw,mi,saginaw
salem news,salem,ma,essex
san angelo standard-times,san angelo,tx,tom green
san antonio express-news,san antonio,tx,tom green
san antonio express-news - conexion,san antonio,tx,tom green
san francisco chronicle,san francisco,ca,san francisco
san jose mercury news,san jose,ca,santa clara
san jose mercury news - alameda journal,san jose,ca,santa clara
san jose mercury news - almaden resident,san jose,ca,santa clara
san jose mercury news - cambrian resident,san jose,ca,santa clara
san jose mercury news - cupertino courier,san jose,ca,santa clara
san jose mercury news - los gatos weekly times,san jose,ca,santa clara
san jose mercury news - marin independent journal,san jose,ca,santa clara
san jose mercury news - rose garden resident,san jose,ca,santa clara
san jose mercury news - santa cruz sentinel,san jose,ca,santa clara
san jose mercury news - saratoga news,san jose,ca,santa clara
san jose mercury news - the argus,san jose,ca,santa clara
san jose mercury news - the berkeley voice,san jose,ca,santa clara
san jose mercury news - the campbell reporter,san jose,ca,santa clara
san jose mercury news - the daily review,san jose,ca,santa clara
san jose mercury news - the montclarion,san jose,ca,santa clara
san jose mercury news - the oakland tribune,san jose,ca,santa clara
san jose mercury news - the piedmonter,san jose,ca,santa clara
san jose mercury news - the sunnyvale sun,san jose,ca,santa clara
san jose mercury news - times-herald,san jose,ca,santa clara
san jose mercury news - willow glen resident,san jose,ca,santa clara
sandusky register sunday register,sandusky,oh,erie
santa fe new mexican,santa fe,nm,santa fe
sarasota herald-tribune,sarasota,fl,sarasota
saratogian,saratoga springs,ny,saratoga
savannah morning news,savannah,ga,chatham
seattle times,seattle,wa,king
sentinel & enterprise,fitchburg-leominster,ma,worcester
sentinel record,hot springs,ar,garland
sierra star,oakhurst,ca,madera
sioux city journal,sioux city,ia,woodbury
south bend tribune,south bend-mishawaka,in,st. joseph
south jersey times,woodbury,nj,gloucester
southern illinoisan,carbondale-herrin-ma,il,williamson
spokesman review,spokane,wa,spokane
st.  augustine record,st. augustine,fl,st. johns
st.  paul pioneer press,st. paul,mn,ramsey
st. joseph news-press,st. joseph,mo,buchanan
st. louis post-dispatch,st. louis,mo,
standard-examiner,ogden,ut,weber
standard-times,new bedford,ma,bristol
star (formerly evening star),auburn,in,dekalb
star tribune,minneapolis-st. paul,mn,hennepin
star-beacon,ashtabula,oh,ashtabula
starnews media,wilmington,nc,new hanover
state,columbia,sc,richland
state journal-register,springfield,il,sangamon
staten island advance,staten island,ny,richmond
sun,baltimore,md,none
sun,charlotte harbor p.o,fl,charlotte
sun herald,biloxi-gulfport,ms,harrison
sun news,myrtle beach,sc,horry
"sun, sunday sun",lowell,ma,middlesex
"tacoma,the news tribune - the peninsula gateway",tacoma,wa,pierce
tampa bay times (formerly st. petersburg times),st. petersburg,fl,pinellas
taunton daily gazette,taunton,ma,bristol
"telegram & gazette, sunday telegram",worcester,ma,worcester
telegraph,macon,ga,bibb
telegraph,dixon,il,lee
telegraph herald,dubuque-east dubuque,ia,dubuque
telegraph sunday telegraph,nashua,nh,hillsborough
tennessean,nashville,tn,davidson
texarkana gazette,texarkana,tx,bowie
the ann arbor news,ann arbor,mi,washtenaw
the birmingham news,birmingham,al,jefferson
the bulletin,norwich,ct,new london
the charleston gazette/daily mail,charleston,wv,kanawha
the citizens' voice,wilkes-barre,pa,luzerne
the courier,waterloo-cedar falls,ia,black hawk
"the daily herald, the sunday herald",everett,wa,snohomish
the denver post/the sunday denver post,denver,co,denver
the denver post/the sunday denver post - sunday select,denver,co,denver
the detroit news,detroit,mi,wayne
the fresno bee - vida en el valle,fresno,ca,fresno
the journal gazette,fort wayne,in,‎allen
the kitsap sun - bainbridge islander,bremerton,wa,kitsap
the miami herald,miami,fl,miami-dade
the modesto bee - vida en el valle,modesto,ca,stanislaus
the monitor - mid valley town crier,mcallen,tx,hidalgo
the monroe news,monroe,mi,monroe
the palm beach post,west palm beach,fl,palm beach
the pocono record,stroudsburg-east stroudsburg,pa,monroe
"the pueblo chieftain, the sunday cheiftain and star journal",pueblo,co,pueblo
the record - herald news,woodland park,nj,passaic
the record - suburban trends,woodland park,nj,passaic
the republican - el pueblo latino,springfield,ma,hampden
the ridgewood news,ridgewood,nj,bergen
the star - the butler bulletin,auburn,in,dekalb
the star - the garrett clipper,auburn,in,dekalb
the star-ledger,newark,nj,essex
