np_name,np_name_adj,domain
"SAN BERNARDINO, THE SUN","san bernardino, the sun",
SAN FRANCISCO EXAMINER,san francisco examiner,
SAN FRANCISCO CHRONICLE,san francisco chronicle,sfchronicle.com
SAN JOSE MERCURY NEWS,san jose mercury news,mercurynews.com
SAN JOSE MERCURY NEWS - THE SUNNYVALE SUN,san jose mercury news - the sunnyvale sun,
SAN JOSE MERCURY NEWS - ALAMEDA JOURNAL,san jose mercury news - alameda journal,
SAN JOSE MERCURY NEWS - THE MONTCLARION,san jose mercury news - the montclarion,
SAN JOSE MERCURY NEWS - THE BERKELEY VOICE,san jose mercury news - the berkeley voice,
SAN JOSE MERCURY NEWS - THE JOURNAL,san jose mercury news - the journal,
SAN JOSE MERCURY NEWS - THE CAMPBELL REPORTER,san jose mercury news - the campbell reporter,
SAN JOSE MERCURY NEWS - CUPERTINO COURIER,san jose mercury news - cupertino courier,
SAN JOSE MERCURY NEWS - LOS GATOS WEEKLY TIMES,san jose mercury news - los gatos weekly times,
SAN JOSE MERCURY NEWS - SARATOGA NEWS,san jose mercury news - saratoga news,
SAN JOSE MERCURY NEWS - ALMADEN RESIDENT,san jose mercury news - almaden resident,
SAN JOSE MERCURY NEWS - WILLOW GLEN RESIDENT,san jose mercury news - willow glen resident,
SAN JOSE MERCURY NEWS - ROSE GARDEN RESIDENT,san jose mercury news - rose garden resident,
SAN JOSE MERCURY NEWS - SAN MATEO COUNTY TIMES,san jose mercury news - san mateo county times,
SAN JOSE MERCURY NEWS - YES! YOUR ESSENTIAL SHOPPER (SUNDAY SELECT),san jose mercury news - yes! your essential shopper (sunday select),
SAN JOSE MERCURY NEWS - CONTRA COSTA TIMES,san jose mercury news - contra costa times,
SAN JOSE MERCURY NEWS - THE ARGUS,san jose mercury news - the argus,
SAN JOSE MERCURY NEWS - THE DAILY REVIEW,san jose mercury news - the daily review,
SAN JOSE MERCURY NEWS - THE OAKLAND TRIBUNE,san jose mercury news - the oakland tribune,
SAN JOSE MERCURY NEWS - SANTA CRUZ SENTINEL,san jose mercury news - santa cruz sentinel,
